,agency,sku,volume,date,industry_volume,soda_volume,avg_max_temp,price_regular,price_actual,discount,avg_population_2017,avg_yearly_household_income_2017,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,fifa_u_17_world_cup,football_gold_cup,beer_capital,music_fest,discount_in_percent,timeseries
0,Agency_22,SKU_01,52.272,2013-01-01,492612703,718394219,25.845238100000003,1168.903668,1069.166193,99.737475,48151,132110,0,0,1,0,0,0,0,0,0,0,0,0,8.532565833303554,0
238,Agency_37,SKU_04,0.0,2013-01-01,492612703,718394219,26.505,1852.273642,1611.466298,240.807344,32769,96761,0,0,1,0,0,0,0,0,0,0,0,0,13.000635464422377,5
237,Agency_59,SKU_03,812.9214,2013-01-01,492612703,718394219,22.21973684,1270.7950119999998,1197.18426,73.610752,1219986,218902,0,0,1,0,0,0,0,0,0,0,0,0,5.792496138629793,9
236,Agency_11,SKU_01,316.44,2013-01-01,492612703,718394219,25.36,1176.155397,1082.7574880000002,93.397909,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,7.940949745095631,14
235,Agency_05,SKU_05,420.9093,2013-01-01,492612703,718394219,24.07901235,1327.003396,1207.8229919999999,119.18040400000001,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,8.981167972836145,22
234,Agency_28,SKU_06,270.756,2013-01-01,492612703,718394219,29.96875,1098.6613730000001,950.1110388000001,148.55033419999998,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,13.521030032608596,32
233,Agency_05,SKU_02,876.528,2013-01-01,492612703,718394219,24.07901235,1131.613798,1044.056705,87.55709300000001,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,7.73736527026688,23
232,Agency_57,SKU_03,782.127,2013-01-01,492612703,718394219,22.21973684,1268.5584310000002,1165.031186,103.527245,2212416,187351,0,0,1,0,0,0,0,0,0,0,0,0,8.161015091625682,37
231,Agency_52,SKU_04,280.5849,2013-01-01,492612703,718394219,30.59489796,1727.640845,1558.61109,169.029755,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,9.783848042791558,44
239,Agency_11,SKU_02,6.696000000000001,2013-01-01,492612703,718394219,25.36,1132.9375,1047.0191539999998,85.918346,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,7.583679240911348,18
230,Agency_09,SKU_03,4792.7592,2013-01-01,492612703,718394219,30.82888889,1294.57624,1152.0258720000002,142.550368,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,11.011353645730434,50
